Date,AME ID,Title,Format,Asset Type,Channel,Location,Transaction Type,Quantity,Sales,Est. Commissions,Total Sales, Total Commission , Monthly Earned 
5/1/23,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,Sheet Music Direct,United States,Purchase,1,$12.99 ,$1.30 ,$12.99 ,$1.30 ,$1.30 
11/23/23,814473,Merry-go-round Of Life,Small Ensemble (3-7 players),sheet,Sheet Music Plus,Luxembourg,Purchase,1,$12.99 ,$1.30 ,$25.98 ,$2.60 ,$1.30 
3/22/24,814473,Merry-go-round Of Life,Small Ensemble (3-7 players),sheet,Sheet Music Plus,United States,Purchase,1,$19.99 ,$2.00 ,$45.97 ,$4.60 ,$2.00 
7/16/24,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,Sheet Music Plus,United States,Purchase,1,$19.99 ,$2.00 ,$65.96 ,$6.60 ,$2.00 
8/7/24,814485,Reprise,Small Ensemble (3-7 players),sheet,Sheet Music Plus,United States,Purchase,1,$19.99 ,$2.00 ,$85.95 ,$8.60 ,$2.00 
9/22/24,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,Sheet Music Plus,United States,Purchase,1,$19.99 ,$2.00 ,$105.94 ,$10.60 ,$2.00 
9/30/24,814485,Reprise,Small Ensemble (3-7 players),sheet,Sheet Music Direct,N/A,View,1,$0.00 ,$0.06 ,$106.00 ,$10.66 ,$2.06 
9/30/24,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,Sheet Music Direct,N/A,View,5,$0.00 ,$0.23 ,$106.23 ,$10.89 ,$2.29 
9/30/24,814465,Summer,Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,4,$0.00 ,$0.13 ,$106.36 ,$11.02 ,$2.42 
9/30/24,814473,Merry-go-round Of Life,Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,1,$0.00 ,$0.03 ,$106.39 ,$11.05 ,$2.45 
9/30/24,814485,Reprise,Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,1,$0.00 ,$0.03 ,$106.42 ,$11.08 ,$2.48 
9/30/24,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,7,$0.00 ,$0.22 ,$106.64 ,$11.30 ,$2.70 
11/10/24,814485,Reprise,Small Ensemble (3-7 players),sheet,Sheet Music Plus,United States,Purchase,1,$19.99 ,$2.00 ,$126.63 ,$13.30 ,$2.00 
12/31/24,814465,Summer,Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,7,$0.00 ,$0.21 ,$126.84 ,$13.51 ,$0.21 
12/31/24,814485,Reprise,Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,1,$0.00 ,$0.04 ,$126.88 ,$13.55 ,$0.25 
12/31/24,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,5,$0.00 ,$0.15 ,$127.03 ,$13.70 ,$0.40 
1/27/25,814485,Reprise,Small Ensemble (3-7 players),sheet,Sheet Music Plus,United States,Purchase,1,$19.99 ,$2.00 ,$147.02 ,$15.70 ,$2.00 
3/31/25,814465,Summer,Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,3,$0.00 ,$0.07 ,$147.09 ,$15.77 ,$0.07 
3/31/25,814830,Kiki's Delivery Service (on A Clear Day),Small Ensemble (3-7 players),sheet,MuseScore,N/A,View,1,$0.00 ,$0.03 ,$147.12 ,$15.80 ,$0.10 
