title,info,duration,instrumentation,year,buyLink,videoLink,buyMethod, price ,priceNotes,multipleParts
Coral,A piano piece inspired by the soundtrack from the video game Superliminal.,3,Piano,2025,https://www.sheetmusicplus.com/en/product/coral-23668399.html,https://youtu.be/dI5LHDqt9XU,SheetMusicPlus,$5.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Rabbit Rondo,"As the name suggests, ""Rabbit Rondo"" is a piece about...rabbits - particularly how much they hop around - and expressed in three different characters.",6,Wind Quartet,2022,https://www.sheetmusicplus.com/title/rabbit-rondo-digital-sheet-music/22486771,https://youtu.be/SiZhQociOKQ,SheetMusicPlus,$9.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
The Wayfarer,"""The Wayfarer"" is a three-movement suite for flute, clarinet, and bassoon that follows a character's journey through different experiences. The original piece was written in 2019 and revised in 2024.",9,"Flute, Clarinet, Bassoon",2024,,https://youtu.be/Yx15mCfj2-A,SheetMusicPlus,$12.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Two Pieces for Wind Quintet,"Two Pieces for Wind Quintet is a set of two pieces inspired by Amy Beach's ""Suite for Two Pianos."" ""Confusion"" is a chromatically wandering perpetuum mobile while ""Sarcasm"" is a reaction to the excessive accidentals in the previous piece.",8,Wind Quintet,2021,n/a,https://youtu.be/vqoUajEWpjg,Contact Daniel,$15.00 ,n/a,FALSE
on a warm evening,"""on a warm evening"" is a chamber orchestra piece that evokes the experience of sitting on a front porch, watching the sun set on a hot, humid summer evening. This piece was written for the Albany Symphony's ""Dogs of Desire"" ensemble.",5,Chamber Orchestra,2025,,https://youtu.be/PsbAO8dxXv0,SheetMusicPlus,$17.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Dandelion,"""Dandelion"" is a short piano piece inspired by the experience of seeing dandelions blooming outside my apartment while practicing Debussy's Prelude No. 5 from Book I, ""Les collines d'Anacapri.""",2,Piano,2025,https://www.sheetmusicplus.com/en/product/dandelion-23668400.html,https://youtu.be/6uzumgs7Akg,SheetMusicPlus,$5.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Beryl,"Written during the power outage post-Hurricane Beryl, whose path went right over our house.",2,Piano,2025,https://www.sheetmusicplus.com/en/product/beryl-23668403.html,https://youtu.be/qX_3niuODio,SheetMusicPlus,$5.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Amber,A piano piece inspired by the soundtrack from the video game Superliminal.,2,Piano,2024,n/a,https://youtu.be/wa0U-kGO-ek,Contact Daniel,$5.00 ,n/a,FALSE
liminal,"liminal explores the concept of transitional spaces which can seem comforting on the surface, but can also be unsettling after a prolonged amount of time. the piece takes inspiration from the untitled goose game (which uses a selection of pieces from debussy's les preludes) and ""superliminal"" (matt christensen).",23,"Flute, Piano",2022,https://www.sheetmusicplus.com/en/product/liminal-23668405.html,https://youtu.be/f2xA_ql3k4g,SheetMusicPlus,$19.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Horizon,"""Horizon"" is a short piece composed for my friend's middle school beginner orchestra (grade 0.5). It aims to use the fundamental concepts beginner orchestra students learn, but in ways that feel engaging and fresh.",2,String Orchestra,2024,https://www.sheetmusicplus.com/en/product/horizon-23586374.html,https://youtu.be/P8J5Ht52vD8,SheetMusicPlus,$9.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Auld Lang Syne (Mixed Quintet),"An arrangement of Auld Lang Syne for English Horn, Alto Saxophone, Glockenspiel, Piano, and Double Bass.",2,Chamber Ensemble,2023,https://www.sheetmusicplus.com/en/product/auld-lang-syne-22653470.html,https://youtu.be/1yQ4BLd8Ckk,SheetMusicPlus,$10.00 ,Public Domain: Vendor 50% / Composer 50%,FALSE
On a Clear Day,from Kiki's Delivery Service by Joe Hisaishi.,2,"Flute, Cello, Piano",2020,https://www.sheetmusicplus.com/en/product/kiki-s-delivery-service-on-a-clear-day-22487175.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Reprise,from Spirited Away by Joe Hisaishi.,5,"Flute, Cello, Piano",2021,https://www.sheetmusicplus.com/en/product/reprise-22486785.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Merry-go-round of Life,from Howl's Moving Castle by Joe Hisaishi.,4,"Flute, Cello, Piano",2022,https://www.sheetmusicplus.com/en/product/merry-go-round-of-life-22486772.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Summer,"An arrangement of Joe Hisaishi's ""Summer""",4,"Flute, Cello, Piano",2022,https://www.sheetmusicplus.com/en/product/summer-22486762.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Amazing Grace,An arrangement of Amazing Grace,3,Piano Duets,2025,solo-arr-catalogue.csv,https://youtu.be/4qen2NAcLTA,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Theme of Violet Evergarden,from Violet Evergarden by Evan Call arr. Daniel Kim,3,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/theme-of-violet-evergarden-23683946.html,https://youtu.be/AlLEbezkWC4,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Time Flows Ever Onward,from Frieren: Beyond Journey's End by Evan Call arr. Daniel Kim,2,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/time-flows-ever-onward-23683960.html,https://youtu.be/i5OVEi40Tzw,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Never Coming Back,from Violet Evergarden by Evan Call arr. Daniel Kim,3,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/never-coming-back-23683952.html,https://youtu.be/XTYH5kRrrOE,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Torment,from Violet Evergarden by Evan Call arr. Daniel Kim,3,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/torment-23683938.html,https://youtu.be/w8tI39t_K1I,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
The Ultimate Price,from Violet Evergarden by Evan Call arr. Daniel Kim,3,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/the-ultimate-price-23683948.html,https://youtu.be/FSaz54Sob_I,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Across the Violet Sky,from Violet Evergarden by Evan Call arr. Daniel Kim,3,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/across-the-violet-sky-23683951.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Journey of a Lifetime,from Frieren: Beyond Journey's End by Evan Call arr. Daniel Kim,3,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/journey-of-a-lifetime-frieren-main-theme-23683959.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Waltz for Stark and Fern,from Frieren: Beyond Journey's End by Evan Call arr. Daniel Kim,5,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/waltz-for-stark-and-fern-23683957.html,https://youtu.be/rViqfyD6mZg,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Fractured,n/a,4,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/fractured-23683953.html,n/a,SheetMusicPlus,$5.99 ,Original Work: Vendor 50% / Composer 50%,FALSE
Frieren the Slayer,from Frieren: Beyond Journey's End by Evan Call arr. Daniel Kim,4,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/frieren-the-slayer-23683958.html,https://youtu.be/ELBzAWpEAY0,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Zoltraak,from Frieren: Beyond Journey's End by Evan Call arr. Daniel Kim,4,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/zoltraak-23683954.html,https://youtu.be/o2clt5yb9Sw,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Frieren Medley,from Frieren: Beyond Journey's End by Evan Call arr. Daniel Kim,6,"Flute, Violin, Piano",2026,https://www.sheetmusicplus.com/en/product/journey-of-a-lifetime-frieren-main-theme-23683961.html,n/a,SheetMusicPlus,$15.00 ,Copyrighted Work: Vendor 90% / Arranger 10%,FALSE
Greensleeves,An arrangement of Greensleeves.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/9ye-s19E9yE,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Scarborough Fair,An arrangement of Scarborough Fair.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/sCQdLmCik-g,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Aura Lee,An arrangement of Aura Lee.,1,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/-9jiGzKQSwQ,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Never Coming Back (Duet),from Violet Evergarden by Evan Call arr. Daniel Kim,3,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/ZBEVMiyVGNo,SheetMusicPlus,$12.99 ,Copyrighted Work: Vendor 90% / Arranger 10%,solo-arr-catalogue.csv
Simple Gifts,An arrangement of Simple Gifts.,1,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/g60snP4O0vo,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Sarabande (Handel),"An arrangement of the Sarabande from Suite in D Minor, HWV 437 by Handel. This arrangement adds three new original variations by Daniel Kim. The variations are written with various levels of difficulty in mind. Performers may freely choose which variations to play, and are not obligated to play the full piece.",4,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/QgD75v1CeVE,SheetMusicPlus,$7.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Six Selections from Kinderszenen (Schumann),"An arrangement of six selections from Kinderszenen by Schumann. The pieces are written with various levels of difficulty in mind. Performers may freely choose which pieces to play, and are not obligated to play the full piece.",8,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/_ojCINWbWkU,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Morning Prayer (Tchaikovsky),An arrangement of Morning Prayer by Tchaikovsky.,1,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/vImpzOvRkQU,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Ode to Joy (Beethoven),"An arrangement of thematic material  from Symphony No. 9 mvt. 4 by Beethoven. The variations are written with various levels of difficulty in mind. Performers may freely choose which variations to play, and are not obligated to play the full piece. ",7,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/P4kMJ0nM_CE,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Eternal Source of Light Divine (Handel),An arrangement of Eternal Source of Light Divine from Queen Anne's Birthday Ode by Handel. ,3.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/rfR3d9iWsZQ,SheetMusicPlus,$7.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Lullaby (Brahms),An arrangement of Lullaby from 5 Lieder by Brahms,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/AQbanQanwxc,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
"Twinkle, Twinkle, Little Star (Mozart)","An arrangement of Mozart's Twinkle, Twinkle, Little Star variations. The variations are written with various levels of difficulty in mind. Performers may freely choose which variations to play, and are not obligated to play the full piece.",6.5,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/uY4DetdXykQ,SheetMusicPlus,$9.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
Shenandoah,An arrangement of Shenandoah.,2,Piano Duets,2026,solo-arr-catalogue.csv,https://youtu.be/eZvic1kP4qA,SheetMusicPlus,$5.99 ,Public Domain: Vendor 50% / Composer 50%,solo-arr-catalogue.csv
